Materia;Carrera;Nivel;NumeroNivel
FUNDAMENTOS DE REDES Y COMUNICACIÓN DE DATOS;5;Tercer;3
MÉTODOS NUMÉRICOS;5;Cuarto;4
INGENIERÍA DE SOFTWARE;5;Cuarto;4
INTERACCIÓN HOMBRE MÁQUINA;5;Cuarto;4
ADMINISTRACIÓN DE SISTEMAS OPERATIVOS;5;Cuarto;4
GESTIÓN DE BASES DE DATOS;5;Cuarto;4
SISTEMAS DE BASES DE DATOS DISTRIBUIDOS;5;Quinto;5
TECNOLOGÍAS Y DESARROLLO WEB;5;Quinto;5
INVESTIGACIÓN OPERATIVA;5;Quinto;5
CONMUTACIÓN Y ENRUTAMIENTO BÁSICO;5;Quinto;5
GESTIÓN Y EVALUACIÓN DE PROYECTOS TI;5;Quinto;5
ADMINISTRACIÓN DE BASE DE DATOS;5;Sexto;6
SISTEMAS DE SOPORTE DE DECISIONES;5;Sexto;6
CONMUTACIÓN Y ENRUTAMIENTO AVANZADO;5;Sexto;6
GOBIERNOS TI;5;Sexto;6
APLICACIONES MÓVILES;5;Sexto;6
SERVICIO COMUNITARIO ;5;Septimo;7
INTELIGENCIA DE NEGOCIOS ;5;Septimo;7
EMPRENDIMIENTO Y GESTIÓN FINANCIERA DE TI;5;Septimo;7
ARQUITECTURA Y PLATAFORMAS DE SERVIDORES;5;Septimo;7
ADMINISTRACIÓN DE REDES;5;Septimo;7
PRÁCTICAS LABORALES;5;Octavo;8
INTEGRACIÓN DE SISTEMAS;5;Octavo;8
SEGURIDAD DE LA INFORMACIÓN EN REDES DE COMUNICACIÓN DE DATOS;5;Octavo;8
AUDITORÍA DE TI;5;Octavo;8
DISEÑO DE PROYECTOS;5;Octavo;8
TITULACIÓN;5;Noveno;9
DESARROLLO DE PROYECTOS;5;Noveno;9
FÍSICA;1;Primer;1
ÁLGEBRA LINEAL;1;Primer;1
CÁLCULO DIFERENCIAL;1;Primer;1
ALGORITMOS Y LÓGICA DE PROGRAMACIÓN;1;Primer;1
LÓGICA MATEMÁTICA;1;Primer;1
FUNDAMENTOS DE INGENIERÍA DE SOFTWARE;1;Segundo;2
CÁLCULO INTEGRAL;1;Segundo;2
PROGRAMACIÓN ORIENTADA A OBJETOS;1;Segundo;2
SISTEMAS OPERATIVOS;1;Segundo;2
METODOLOGÍA DE LA INVESTIGACIÓN;1;Segundo;2
MÉTODOS NUMÉRICOS;1;Tercer;3
ESTRUCTURA DE DATOS;1;Tercer;3
PROBABILIDAD Y ESTADÍSTICA;1;Tercer;3
INTRODUCCIÓN A REDES;1;Tercer;3
MODELAMIENTO Y DISEÑO DE SOFTWARE;1;Tercer;3
METODOLOGÍAS ÁGILES;1;Cuarto;4
REDES;1;Cuarto;4
BASE DE DATOS;1;Cuarto;4
COMPUTACIÓN VISUAL;1;Cuarto;4
MANEJO Y CONFIGURACIÓN DEL SOFTWARE;1;Cuarto;4
INVESTIGACIÓN OPERATIVA;1;Quinto;5
SISTEMAS DE SOPORTE DE DECISIONES;1;Quinto;5
PATRONES DE SOFTWARE;1;Quinto;5
APLICACIONES ORIENTADAS A SERVICIOS;1;Quinto;5
INTERACCIÓN HUMANO / COMPUTADOR;1;Quinto;5
INTELIGENCIA DE NEGOCIOS;1;Sexto;6
